UNRATE	HOUSE	DURATION	SAVINGS
9,6	586	25,3	4,9
9,8	585	26,7	6
10	534	27,4	5,5
9,9	588	29	5,8
9,9	581	29,7	5,8
9,8	614	30,4	5,7
9,8	604	29,8	5,3
9,9	636	31,6	5,1
9,9	687	33,2	5,7
9,6	583	33,9	6,1
9,4	536	34,4	5,9
9,5	546	33,8	5,9
9,5	599	33,6	5,8
9,5	594	33,4	5,6
9,5	543	34	5,4
9,8	545	34,1	5,3
9,3	539	34,8	5,8
9,1	630	37,3	6,3
9	517	37,4	6,4
8,9	600	39,2	5,9
9	554	38,6	5,7
9	561	39,5	5,7
9,1	608	39,6	5,9
9	623	40,4	6
9	585	40,3	5,8
9	650	40,4	5,3
8,9	610	38,9	5
8,6	711	40,7	4,8
8,5	694	40,7	5,4
8,3	723	40,2	5,6
8,3	713	39,9	5,4
8,2	707	39,5	5,4
8,1	754	39,1	5,3
8,2	711	39,6	5,4
8,2	757	39,7	5,6
8,2	741	38,8	5,1
8,1	749	39,3	4,9
7,8	854	39,6	4,8
7,9	864	39,9	5
7,8	842	39,7	5,9
7,8	983	38,1	8,7
7,9	898	35,3	3,6
7,7	969	36,9	4,2
7,6	1005	37,1	4,3
7,5	852	36,5	4,4
7,6	919	36,9	4,6
7,6	846	35,6	4,4
